"","gene","BOOST_Ising","BOOST_GP","SPARK","BinSpect"
"499","Tsr2",0,0,0,0
"500","Reln",1,0,1,1
"501","Snhg5",0,0,0,0
"502","Ccser2",0,0,0,0
"503","Smyd2",0,0,0,0
"504","Nbl1",0,0,0,0
"505","Srpk2",0,0,0,0
"506","Ppa1",0,0,0,0
"507","Slc35a5",0,0,0,0
"508","Gm6710",1,0,0,0
"509","Osbpl6",0,0,0,0
"510","Ak1",0,0,0,0
"511","Mrpl1",0,0,0,0
"512","Zbtb9",0,0,0,0
"513","Upf2",0,0,0,0
"514","Megf8",0,0,0,0
"515","Hdac5",0,0,0,0
"516","Vmp1",0,0,0,0
"517","Zkscan3",0,0,0,0
"518","Lrrc73",0,0,0,0
"519","Ncald",0,0,0,0
"520","Insig2",0,0,0,0
"521","Arid4b",0,0,0,0
"522","Farsa",0,0,0,0
"523","Hnrnpf",0,0,0,0
"524","Ptp4a2",0,0,0,0
"525","Dnajc30",0,0,0,1
"526","Dusp26",0,0,0,0
"527","Hspbp1",0,0,0,0
"528","Tubg1",0,0,0,0
"529","Ccdc117",0,0,0,0
"530","Ccdc47",0,0,0,0
"531","Ptdss2",0,0,0,0
"532","Mbd1",0,0,0,0
"533","Lca5l",0,0,0,0
"534","Spag7",0,0,0,0
"535","Cyp51",0,0,0,0
"536","Anp32b",0,0,0,0
"537","Fam98b",0,1,0,0
"538","Adam19",0,0,0,0
"539","Spry2",0,0,0,0
"540","Ccdc58",0,0,0,0
"541","Vipas39",0,0,0,0
"542","Dnm3",0,0,0,0
"543","Cd36",0,0,0,0
"544","Hpca",0,1,0,0
"545","Dhx30",0,0,0,0
"546","Gkap1",0,0,0,1
"547","Cdv3",0,1,0,0
"548","Golgb1",0,0,0,0
"549","Srsf2",0,0,0,0
"550","Cspg5",1,1,1,1
"551","Atf2",0,0,0,0
"552","Psmb2",0,0,0,0
"553","Pafah1b1",0,0,0,0
"554","Rad21",0,0,0,0
"555","A730098P11Rik",0,1,0,1
"556","Acadm",0,0,0,0
"557","Ftsjd1",0,0,0,0
"558","Dync2h1",0,0,0,0
"559","Wdfy1",0,0,0,0
"560","Mapk8ip1",1,0,1,1
"561","Ssr1",0,0,0,0
"562","Dak",0,0,0,0
"563","Ogdh",0,0,0,0
"564","St7l",0,0,0,0
"565","Stam2",0,0,0,0
"566","Cryab",0,0,0,0
"567","Zfyve28",0,0,0,0
"568","Dtna",0,0,0,0
"569","Srprb",0,0,0,0
"570","Fam126a",0,0,0,0
"571","Lrig2",0,0,0,0
"572","Psat1",1,0,1,1
"573","Tbc1d8",0,0,0,0
"574","Zdhhc14",0,0,0,0
"575","Nkrf",0,0,0,1
"576","Tuba8",0,0,0,0
"577","Noa1",0,0,0,0
"578","Tnfrsf21",0,0,0,0
"579","Gbp7",1,0,1,1
"580","Ltn1",0,0,0,0
"581","Med28",0,0,0,0
"582","Kpna6",0,0,0,0
"583","Epb4.1l4a",0,0,0,0
"584","Stip1",0,1,0,0
"585","Abcb10",0,0,0,0
"586","Chadl",0,0,0,0
"587","Brsk2",0,0,0,0
"588","Polr2g",0,0,0,0
"589","Lrp12",0,0,0,0
"590","Nrcam",0,0,0,0
"591","Gnb5",1,1,1,1
"592","Elovl5",1,0,1,1
"593","Slc30a9",0,0,0,0
"594","Dzip1",0,0,0,0
"595","Snapc2",0,0,0,0
"596","Lin7b",0,0,0,0
"597","Itm2a",1,0,1,1
"598","Cbr3",0,0,0,0
"599","Whsc1",0,0,0,1
"600","Map4",0,0,0,0
