"","gene","BOOST_Ising","BOOST_GP","SPARK","BinSpect"
"424","ARL6IP4",0,0,0,0
"425","RPL35",1,0,1,1
"426","FAM173A",0,0,0,0
"427","SNRNP70",0,0,0,0
"428","SHC2",0,0,0,0
"429","RALY",0,0,0,0
"430","KIF22",0,0,0,0
"431","ANKFY1",0,0,0,0
"432","MACROD1",0,0,0,0
"433","SGSH",0,0,0,0
"434","AGAP6",0,0,0,0
"435","PLD1",0,0,0,0
"436","CD80",0,0,0,0
"437","RPS28",0,0,0,0
"438","FZD1",0,0,0,1
"439","GCSH",0,0,0,1
"440","VPS41",0,0,0,1
"441","SOX4",0,0,0,0
"442","STARD3",0,0,0,0
"443","UBE2D2",0,0,0,0
"444","SEPHS2",0,0,0,1
"445","DNAJA1",0,0,0,0
"446","EEF2",0,0,0,0
"447","DHX35",0,0,0,0
"448","BTF3",0,0,0,0
"449","ANAPC1",0,0,0,0
"450","ITGA6",0,0,0,0
"451","AIMP1",0,0,0,1
"452","CRIPT",0,0,0,0
"453","RHOH",0,0,0,0
"454","PABPC3",0,0,0,1
"455","CERS2",1,1,1,1
"456","TMEM50A",0,0,0,1
"457","HNRNPH1",0,0,0,0
"458","NDUFS2",0,0,0,1
"459","DYNLT1",0,0,0,1
"460","PSME3",0,0,0,0
"461","COX7B",0,0,0,1
"462","CBWD2",0,0,0,1
"463","PTEN",0,0,0,1
"464","SERINC1",0,0,0,1
"465","CCS",0,0,0,0
"466","THOC2",0,0,0,1
"467","PTMA",0,0,0,0
"468","ITFG1",0,0,0,1
"469","BUD13",0,0,0,0
"470","MGST2",0,0,0,0
"471","KLF6",0,0,1,1
"472","SF3B3",0,0,0,1
"473","ALCAM",0,0,0,1
"474","FGR",0,0,0,0
"475","TPK1",0,0,0,0
"476","BCL2L11",0,0,0,0
"477","MTHFR",0,0,0,1
"478","C11orf31",0,0,0,0
"479","OXA1L",0,0,0,0
"480","LSS",0,0,0,1
"481","IDI1",0,0,1,1
"482","TNS2",0,0,0,0
"483","UBXN2A",0,0,0,0
"484","NDUFS1",0,0,0,1
"485","KMT2C",0,0,0,1
"486","RBM42",0,0,0,1
"487","RAB7A",0,0,0,0
"488","NDUFB11",0,0,0,1
"489","RHEB",0,0,0,1
"490","SRM",0,0,0,1
"491","ATP1B3",1,0,0,1
"492","TBC1D9B",0,0,0,1
"493","IFNGR1",0,0,0,1
"494","UBE2A",0,0,0,1
"495","PMPCB",0,0,0,1
"496","NIPBL",0,0,0,1
"497","ARF4",0,0,0,0
"498","CCT7",0,0,0,0
"499","GADD45GIP1",1,0,1,0
"500","MYDGF",0,0,0,0
"501","SPTLC3",0,0,0,0
"502","PPAP2C",0,0,0,1
"503","RPN2",1,0,1,1
"504","RPS18",1,1,1,1
"505","PLEKHG6",0,0,0,0
"506","FRAT2",0,0,0,0
"507","EIF4EBP2",0,0,0,1
"508","CKS1B",0,0,0,1
"509","RUNX1",0,0,0,0
"510","RPL37A",0,0,1,1
"511","CERS6",0,0,0,1
"512","ZNF90",0,0,0,0
"513","WWC1",0,0,0,1
"514","RPL31",0,0,0,0
"515","NEK8",0,0,0,0
"516","CHMP1B",0,0,0,1
"517","PFDN5",0,0,0,1
"518","RRAGC",0,0,0,0
"519","GMFB",1,0,0,1
"520","KIF13A",0,0,0,0
"521","CBX3",0,0,0,0
"522","CITED2",0,0,0,1
"523","ETV6",0,0,0,0
"524","PRKCSH",0,0,0,0
"525","TMSB10",0,0,0,0
"526","CALR",0,0,0,0
"527","GCNT1",0,0,0,0
"528","CMPK1",0,0,0,1
"529","GPATCH2",0,0,0,1
"530","RPS6",0,0,0,0
"531","TAX1BP1",1,0,1,1
"532","BHLHE40",0,0,0,1
"533","SYBU",0,0,0,0
"534","MAN2B2",0,0,0,0
"535","S100A14",0,0,1,0
"536","TNS1",0,0,0,1
"537","PGP",0,0,0,1
"538","SLC39A13",0,0,0,0
"539","CA12",0,0,0,1
"540","IFT52",1,0,0,1
"541","PROM2",0,0,0,1
"542","RPS7",0,0,0,0
"543","LSM4",0,0,0,1
"544","TCEB3",0,0,0,0
"545","FEM1C",0,0,0,1
"546","PVRL2",0,0,0,0
"547","RAP2A",0,0,0,1
